player,score
"['Phongcu', 'NA_ifelse', 'PhongMinhAnh', 'Hieu']","[0, 1, 2, 3]"
"['Hieu', 'NA_ifelse', 'Phongcu', 'random']","[0, 1, 1, 12]"
"['Phongcu', 'Hieu', 'PhongMinhAnh', 'random']","[0, 1, 2, 7]"
"['NA_ifelse', 'M_Anh', 'PhongMinhAnh', 'random']","[0, 1, 2, 4]"
"['M_Anh', 'PhongMinhAnh', 'Phongcu', 'NA_ifelse']","[0, 1, 3, 6]"
"['Phongcu', 'M_Anh', 'NA_ifelse', 'random']","[0, 1, 4, 8]"
"['Phongcu', 'M_Anh', 'random', 'PhongMinhAnh']","[0, 2, 5, 8]"
"['PhongMinhAnh', 'NA_ifelse', 'Phongcu', 'random']","[0, 4, 4, 9]"
"['NA_ifelse', 'Hieu', 'NA_RL', 'M_Anh']","[0, 2, 4, 5]"
"['Hieu', 'PhongMinhAnh', 'M_Anh', 'NA_RL']","[0, 3, 4, 5]"
"['Hieu', 'NA_RL', 'M_Anh', 'random']","[0, 6, 7, 9]"
"['Hieu', 'M_Anh', 'Phongcu', 'NA_RL']","[0, 4, 4, 7]"
"['Hieu', 'PhongMinhAnh', 'NA_RL', 'NA_ifelse']","[0, 2, 10, 11]"
"['NA_ifelse', 'random', 'Hieu', 'NA_RL']","[0, 2, 3, 5]"
"['Phongcu', 'Hieu', 'NA_RL', 'NA_ifelse']","[0, 4, 8, 9]"
"['NA_RL', 'Hieu', 'random', 'PhongMinhAnh']","[0, 2, 3, 6]"
"['Phongcu', 'Hieu', 'NA_RL', 'PhongMinhAnh']","[0, 3, 4, 4]"
"['Phongcu', 'Hieu', 'random', 'NA_RL']","[0, 4, 6, 12]"
"['M_Anh', 'NA_ifelse', 'PhongMinhAnh', 'NA_RL']","[0, 1, 4, 5]"
"['NA_RL', 'M_Anh', 'random', 'NA_ifelse']","[0, 1, 1, 2]"
"['M_Anh', 'NA_ifelse', 'Phongcu', 'NA_RL']","[0, 5, 6, 7]"
"['M_Anh', 'PhongMinhAnh', 'NA_RL', 'random']","[0, 1, 4, 4]"
"['Phongcu', 'NA_RL', 'M_Anh', 'PhongMinhAnh']","[0, 3, 6, 6]"
"['Phongcu', 'M_Anh', 'NA_RL', 'random']","[0, 1, 3, 8]"
"['NA_ifelse', 'PhongMinhAnh', 'random', 'NA_RL']","[0, 5, 5, 6]"
"['PhongMinhAnh', 'NA_ifelse', 'NA_RL', 'Phongcu']","[0, 1, 3, 5]"
